Gene	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Aspm	814.180150675978	1150.74417470503	611.974935520895	905.039363751686	691.751314925098	886.529758935121	493.855400416634	914.660836561105	699.761888480243	643.457039660363
Aspn	5.62149701272252	1.06451820046718	0.980729063334767	7.12629420276918	0	4.27758629160493	0.864895622445945	3.49107189527139	1.31781899902117	4.01658576567018
Asprv1	26.2336527260384	23.4194004102781	10.7880196966824	14.2525884055384	8.60654824168084	25.6655177496296	32.8660336529459	62.8392941148851	9.22473299314821	4.81990291880422
Aspscr1	1929.11039153261	1839.48745040729	1610.35712199569	1675.69717967972	1966.59627322407	1834.01512252561	1708.16885433074	1734.18996397607	1668.3588527608	1686.96602158148
Asrgl1	1291.0704805886	1031.5181362527	1186.68216663507	1216.5602246156	1137.14018643208	1056.56381402642	952.250080312985	1233.22114700462	1041.07700922673	1265.22451618611
Ass1	74.9532935029669	110.709892848587	76.4968669401118	98.7500768098015	55.9425635709255	112.286640154629	93.408727224162	119.569212413045	71.1622259471433	93.9881069166822
Aste1	347.595898620009	322.549014741557	302.064551507108	355.296668109492	270.030451082736	348.623282765802	435.04249809031	317.687542469697	383.485328715161	346.229693000769
Astl	22.4859880508901	0	15.6916650133563	8.1443362317362	7.53072971147074	3.2081897187037	12.9734343366892	8.72767973817849	2.63563799804234	4.81990291880422
Asxl1	2105.25063126458	2129.03640093437	1949.68937790952	1764.26683619986	2070.95067065445	2182.63840529141	1564.59618100471	1810.12077769822	2179.67262438102	1385.72208915621
Asxl2	1392.25742681761	1438.16408883117	1521.11077723222	1266.44428403498	1172.64219792901	1108.96424609858	1395.94153462775	1243.69436269043	1655.18066277059	1119.02079431571
Atad1	2129.61045165305	2419.64986966191	2592.06691439379	2013.68713329678	2262.44636903185	2433.9465999232	2382.78743983858	2662.81508811826	3116.64193268507	2657.37314256739
Atad2	3031.86072219501	3213.78044721043	2749.96429359069	2418.86786082565	2351.73930703929	2331.28452892469	2444.19502903224	3336.59196390564	2229.74974634382	2194.66246236219
Atad2b	1085.88583962423	1296.58316816903	1356.34829459198	1085.23280287885	1150.0500087946	1020.20433054778	1278.31572997511	1223.62069929262	1334.95064600845	1010.57297864262
Atad3a	626.796916918561	534.388136634527	712.009299981041	573.157662308435	702.509500227199	586.029321949875	720.458053497472	527.151856185981	523.174142611406	667.556554254384
Atad3aos	17.8014072069546	14.9032548065406	34.3255172167168	17.3067144924394	21.5163706042021	38.4982766244444	26.8117642958243	20.9464313716284	14.4960089892329	27.3127832065572
Atad5	1011.86946229005	931.453425408786	875.791053557947	658.673192741666	636.884569884382	716.495703843825	845.003023129688	987.973346361805	790.691399412704	621.767476525744
Atat1	56.2149701272252	75.5807922331701	93.1692610168028	88.5696565201312	88.2171194772286	108.009053863024	76.1108147752431	81.1674215650599	76.433501943228	98.0046926823524
Atcay	125.54676661747	191.613276084093	129.456236360189	187.319733329933	107.581853021011	159.340089362284	102.922579071067	122.187516334499	79.0691399412704	80.3317153134036
Atcayos	8.43224551908378	20.2258458088765	16.672394076691	41.739723187648	27.9712817854627	29.9431040412345	32.8660336529459	7.85491176436064	38.216750971614	24.9028317471551
Ate1	746.722186523308	754.743404131234	876.771782621282	792.036698536346	797.181530885688	892.946138372529	890.842491119323	746.216617614261	1155.72726214157	837.859790718799
Atf1	741.100689510585	662.130320690589	810.082206314517	736.044386943159	675.614036971946	781.728894790801	643.482343099783	667.667499970654	763.017200433259	992.096684120534
Atf2	2032.17117009919	1871.42299642131	2039.91645173631	1874.21537532829	1564.24014292549	1436.19959740635	1595.73242341277	1965.4734770378	2157.26970139766	1770.51100550742
Atf3	5.62149701272252	6.38710920280311	14.7109359500215	13.2345463765713	17.2130964833617	7.48577601030862	0	26.1830392145355	17.1316469872752	6.42653722507229
Atf4	1520.61494194144	1541.42235427648	1530.91806786557	1512.810455045	1476.02302344826	1528.16770267586	1372.58935282171	1420.86626137546	1396.88813896244	1364.03252602159
Atf5	1.87383233757417	5.32259100233592	0.980729063334767	6.10825217380215	9.68236677189095	5.34698286450616	6.91916497956756	6.10937581672494	1.31781899902117	3.21326861253614
Atf6	2302.00302670987	2447.32734287406	2301.7711116467	2324.18995213172	2080.63303742634	2198.67935388493	1901.04057813619	2341.63647375329	2731.83878497089	1882.97540694618
Atf6b	1153.3438037769	1048.55042746018	844.407723531234	1041.45699563327	1145.74673467376	1075.81295233864	1128.68878729196	1113.65193459157	931.698032307969	905.338431582058
Atf7	324.172994400332	264.000513715862	358.946837180525	352.242542022591	331.352107304712	263.071556933703	236.116504927743	266.194232014444	375.578414721034	200.025971130375
Atf7ip	4607.75371809489	5104.36477124015	4225.96153390951	4256.43372311113	3336.11326218154	4344.95827569771	3732.02461085425	4205.86886582821	4107.64181994899	3763.54086243296
Atf7ip2	3.74766467514834	6.38710920280311	5.8843743800086	5.09021014483513	1.07581853021011	6.41637943740739	2.59468686733783	7.85491176436064	0	6.42653722507229
Atg10	133.979012136553	221.419785697174	216.741122996983	208.69861593824	195.798972498239	240.614228902777	144.437568948473	165.825915025391	292.5558177827	283.570955056315
Atg101	865.710539959268	716.420748914415	548.227546404135	847.010968100565	863.882279758714	876.90518977901	783.595433936026	709.560362713911	593.018549559528	974.423706751586
Atg12	1207.68494156655	1278.48635876109	1330.84933894528	1421.18667243797	1350.15225541368	1268.30433546086	1267.07208688331	1122.37961432975	1481.2285548998	1511.03956504512
Atg13	1492.50745687783	1179.48616611764	1284.75507296854	1217.57826664456	1407.17063751482	1352.78666472006	1306.85728551582	1317.87964046495	1457.50781291742	1186.49943517897
Atg14	385.072545371492	439.646016792947	292.257260873761	265.708969560394	281.864454915048	372.150007369629	234.386713682851	332.5245980246	282.013265790531	257.061489002892
Atg16l1	1405.37425318063	1263.58310395455	1244.54518137182	1240.9932333108	1340.46988864179	1558.1108067171	1244.58480069971	1476.7234116998	1406.11287195559	1175.25299503509
