Gene	L10.D8.Tox.WT5.Tim3n_S10	L12.D8.Tox.KO1.Tim3n_S12	L14.D8.Tox.KO2.Tim3n_S14	L16.D8.Tox.KO3.Tim3n_S1	L18.D8.Tox.KO4.Tim3n_S3	L20.D8.Tox.KO5.Tim3n_S5	L2.D8.Tox.WT1.Tim3n_S2	L4.D8.Tox.WT2.Tim3n_S4	L6.D8.Tox.WT3.Tim3n_S6	L8.D8.Tox.WT4.Tim3n_S8
0610005C13Rik	1.92343501118566	3.71787434834403	4.99606636110075	0.94330741949076	1.29790072296536	3.34861098858224	3.43376965432528	1.80566014548218	1.13083347797295	3.04735895049452
0610009B22Rik	333.715974440712	338.326565699306	326.409668925249	244.316621648107	297.219265559067	296.352072489528	299.882549811074	265.43204138588	361.866712951344	369.746219326668
0610009E02Rik	4.80858752796414	2.78840576125802	0.832677726850126	0	0	1.67430549429112	0	0.902830072741089	1.13083347797295	4.06314526732602
0610009L18Rik	52.8944628076056	56.6975838122464	59.1201186063589	44.3354487160657	62.2992347023371	50.2291648287336	51.5065448148792	47.8499938552777	71.2425091122959	30.4735895049452
0610009O20Rik	170.223998489931	149.644442520847	125.734336754369	147.155957440559	177.812399046254	160.733327451948	148.796685020762	179.663184475477	131.176683444862	121.894358019781
0610010F05Rik	762.641981935113	626.461827695969	858.490736382479	431.091490707277	604.821736901856	550.846507621779	607.777228815574	540.795213571913	582.37924115607	689.718909128592
0610010K14Rik	18.2726326062637	43.6850235930423	33.307109074005	19.809455809306	25.9580144593071	34.323262632968	34.3376965432528	20.7650916730451	36.1866712951344	29.4578031881137
0610012D04Rik	0	0	0.832677726850126	1.88661483898152	2.59580144593071	2.51145824143668	1.14458988477509	0	2.2616669559459	0
0610012G03Rik	803.034117170012	817.932356635686	743.581210077162	794.26484721122	672.312574496055	638.747546072062	713.079498214883	728.583868702059	788.190934147147	812.629053465204
0610030E20Rik	668.393666387016	750.081149778407	866.817513650981	880.105822384879	842.337569204516	854.732954835617	813.803408075091	896.510262231902	857.171776303497	961.949642039436
0610037L13Rik	706.862366610729	609.73139312842	536.244456091481	654.655349126587	526.947693523935	718.277057050891	646.693284897927	566.977285681404	545.061736382963	722.2240712672
0610038B21Rik	10.5788925615211	9.29468587086007	7.49409954165113	11.3196890338891	14.2769079526189	22.6031241729301	22.8917976955019	9.93113080015198	7.91583434581066	8.12629053465204
