Gene	L21.D20.Tox.WT1_S6	L22.D20.Tox.WT2_S7	L23.D20.Tox.WT3_S8	L24.D20.Tox.WT4_S9	L25.D20.Tox.WT5_S10	L26.D20.Tox.KO1_S11	L27.D20.Tox.KO2_S12	L28.D20.Tox.KO3_S13	L29.D20.Tox.KO4_S14	L30.D20.Tox.KO5_S15
Pik3c2b	32	39	49	78	43	81	35	50	100	142
Pik3c2g	0	0	0	0	0	0	0	0	0	0
Pik3c3	1293	1506	1685	1620	1584	2158	2543	1558	1963	1778
Pik3ca	1031	1532	1466	1529	1461	2301	3063	1934	2384	1480
Pik3cb	140	223	214	242	225	262	388	225	265	282
Pik3cd	10533	12619	16369	12699	14204	11834	15407	7825	10380	7746
Pik3cg	1440	2038	2468	2018	2212	2332	2831	1645	2108	1739
Pik3ip1	841	692	647	1183	764	1425	1530	1193	1666	1398
Pik3r1	1543	1580	1649	1743	1872	2496	2588	1408	1950	1711
Pik3r2	143	168	144	307	126	417	565	389	449	467
Pik3r3	10	4	4	5	11	10	9	3	6	21
Pik3r4	885	1184	1273	1339	1270	1694	2051	1232	1535	1186
Pik3r5	3050	3894	5530	3336	4195	5383	4675	3073	4642	3401
Pik3r6	3	11	19	90	21	15	7	10	29	142
Pikfyve	233	175	239	162	208	449	327	285	255	385
Pilra	96	92	41	415	44	55	39	45	139	386
Pilrb1	25	29	26	99	25	21	12	28	56	107
Pilrb2	29	41	23	126	26	22	26	14	51	152
Pim1	380	258	330	479	415	249	400	230	386	400
Pim2	3802	3301	3619	5193	4826	3767	7259	3881	4934	4232
Pim3	490	475	376	642	423	633	676	486	769	659
Pimreg	62	49	47	103	52	54	96	65	84	146
Pin1	842	695	612	1244	867	1009	1327	899	1592	1592
Pin1rt1	0	0	0	0	0	0	0	0	0	0
Pin4	115	72	63	176	166	192	187	145	183	187
Pinc	0	0	0	0	0	0	0	0	0	0
Pink1	2562	2289	2441	2906	2578	4057	5164	2901	4334	3996
Pinlyp	0	1	2	5	0	0	0	0	0	8
Pinx1	215	135	129	204	153	223	257	185	215	329
Pip	0	0	0	0	0	0	0	0	0	0
Pip4k2a	2036	2284	2307	2922	2570	3658	5942	3178	3845	2980
Pip4k2b	94	69	41	62	83	74	87	76	64	89
Pip4k2c	879	865	921	1000	1099	1439	1511	928	1064	1141
Pip5k1a	619	465	453	476	571	701	771	531	540	425
Pip5k1b	5	3	11	33	11	0	6	5	2	31
Pip5k1bos	0	0	0	0	0	0	1	0	0	0
Pip5k1c	2189	2417	3106	2242	2740	3418	3352	2189	2994	2683
Pip5kl1	0	3	1	0	0	0	0	0	7	0
Pipox	8	9	12	31	5	1	0	16	9	105
Pir	0	0	8	0	0	3	0	0	1	13
Pira2	15	11	15	25	8	9	11	11	20	63
Pirb	115	109	84	408	104	47	37	110	178	593
Pirt	0	0	0	0	0	0	0	0	0	0
Pisd	302	277	330	468	356	554	854	475	714	557
Pisd-ps1	342	410	472	454	412	546	665	409	638	607
Pisd-ps2	24	13	19	27	23	50	33	25	15	33
Pisrt1	0	0	0	0	0	0	0	0	0	0
Pithd1	1588	1162	1294	1530	1271	1564	1985	1391	1872	1940
Pitpna	6547	6128	6928	9167	7392	8893	11713	7032	10529	10229
Pitpnb	1151	1208	1373	1802	1453	1823	2397	1395	2177	1576
Pitpnc1	3497	3252	3307	3495	3418	3271	4326	2174	3508	2658
Pitpnm1	2977	3722	4400	4271	4384	6175	7380	4750	5955	4531
Pitpnm2	294	207	220	372	264	301	569	236	267	314
Pitpnm2os1	10	4	9	9	5	8	14	9	3	8
Pitpnm2os2	18	12	0	12	11	7	14	3	17	15
Pitpnm3	0	0	0	0	0	0	0	0	3	0
Pitrm1	582	762	703	798	791	1355	1300	866	1182	990
Pitx1	0	0	0	0	0	0	0	0	0	0
Pitx2	2	5	4	1	2	11	0	0	3	1
Pitx3	0	0	0	0	0	0	0	0	0	0
Piwil1	0	0	0	0	0	0	0	0	0	0
Piwil2	4	15	5	5	0	3	3	14	23	12
Piwil4	4	0	2	12	0	1	4	3	24	3
Pja1	1638	1563	1516	1626	1426	1736	1928	1435	2062	1869
Pja2	841	733	764	1107	856	1509	1698	1112	1322	1239
Pjvk	0	0	0	0	0	0	0	0	0	0
Pkd1	1195	1017	1132	913	1090	1802	1974	1056	1151	977
Pkd1l1	6	10	24	29	40	0	1	0	0	0
Pkd1l2	16	10	9	10	7	7	20	6	17	23
Pkd1l3	31	26	29	34	27	34	39	54	23	48
Pkd2	6	20	4	0	15	9	11	17	5	16
Pkd2l1	0	0	0	0	0	0	0	0	0	0
Pkd2l2	128	145	192	120	154	208	209	128	156	175
Pkdcc	116	85	69	153	142	65	132	111	105	88
Pkdrej	0	0	0	0	0	0	0	0	0	0
Pkhd1	1	0	1	0	0	0	0	0	0	0
Pkhd1l1	0	0	2	8	2	0	0	0	1	17
Pkia	0	0	0	0	0	12	0	1	0	1
Pkib	78	45	50	174	55	21	13	43	86	303
Pkig	289	212	174	747	222	78	55	199	358	1575
Pklr	0	0	5	2	0	0	0	0	9	21
Pkm	10421	10321	10517	15602	11800	13437	17333	11279	16547	16365
Pkmyt1	665	478	539	793	650	678	909	540	739	923
Pkn1	1793	1998	2251	2323	2164	2331	3108	1657	2246	2083
Pkn2	854	1094	1482	1584	1432	1895	2132	1303	1724	1403
Pkn3	45	26	50	45	53	52	45	36	62	37
Pknox1	1164	1973	1842	1865	1661	2107	2682	1742	2306	1683
Pknox2	0	0	0	0	0	2	1	0	0	7
Pkp1	0	0	0	0	0	0	0	0	0	5
Pkp2	4	0	0	4	2	0	0	2	1	2
Pkp3	3372	2235	2311	3582	2737	4329	4796	3944	5791	4446
Pkp4	247	167	128	274	152	304	388	248	311	321
Pla1a	7	1	0	6	10	7	3	2	6	2
Pla2g10	0	1	5	0	0	1	1	2	2	0
Pla2g10os	0	0	0	0	0	0	0	0	0	0
Pla2g12a	214	164	199	344	197	262	371	226	365	555
Pla2g12b	0	0	0	0	0	0	0	0	0	0
Pla2g15	285	269	294	445	410	380	474	302	551	577
Pla2g16	2109	1684	1557	3022	2292	2099	3023	1663	2516	2100
Pla2g1b	2	0	2	6	1	2	6	0	2	0
Pla2g2a	0	0	0	0	0	0	0	0	0	0
Pla2g2c	0	0	0	0	0	0	0	0	0	0
Pla2g2d	83	103	66	179	66	100	173	91	97	353
Pla2g2e	0	0	0	0	0	0	0	0	0	0
Pla2g2f	0	0	0	0	0	0	0	0	0	0
Pla2g3	8	0	0	0	0	2	5	1	0	8
Pla2g4a	5	31	14	32	34	30	4	12	40	72
