geneName	L21.Seq29.FA.11.WT.I	L22.Seq29.FA.11.KO.I	L23.Seq29.FA.12.WT.I	L24.Seq29.FA.12.KO.I	L25.Seq29.FA.13.WT.I	L26.Seq29.FA.13.KO.I	L27.Seq29.FA.14.WT.I	L28.Seq29.FA.14.KO.I	L29.Seq29.FA.15.WT.I	L30.Seq29.FA.15.KO.I
Sumo3	2821	2547	2908	3119	3149	3144	3405	3055	2428	4821
Sun1	3262	2719	3330	3139	2949	2865	3542	4021	2294	3135
Sun2	372	425	395	447	344	429	275	375	179	384
Sun3	0	0	0	0	0	0	0	0	5	0
Sun5	0	0	0	0	0	0	0	0	0	0
Suox	762	559	1045	833	657	783	931	1082	575	942
Supt16	2280	1784	2140	1737	1472	1343	1893	2259	1396	2240
Supt20	5071	4250	4458	3647	4124	3721	5024	4977	3590	4552
Supt20-ps	0	0	0	0	0	0	0	0	0	0
Supt3	307	232	307	233	231	258	316	294	169	353
Supt4a	1825	1888	1827	2285	1772	2053	2275	2439	1567	3307
Supt4b	3	3	3	0	1	5	0	1	1	1
Supt5	6170	4486	4389	4089	4312	4508	5785	5707	3343	4919
Supt6	1583	1416	1117	1209	1258	1094	1699	1351	806	932
Supt7l	595	551	557	564	511	608	656	564	483	807
Supv3l1	578	474	566	385	393	457	568	519	242	501
Surf1	1616	1540	1548	1537	1419	1489	1765	1787	1148	2276
Surf2	678	464	602	600	592	591	831	541	349	718
Surf4	7077	6512	6359	6837	6444	6505	8238	8498	4746	9025
Surf6	848	805	829	789	820	861	945	873	518	1021
Susd1	103	78	112	64	112	85	196	109	79	83
Susd2	42	25	15	28	9	18	39	23	30	50
Susd3	593	452	473	640	577	565	641	637	333	972
Susd4	2	1	0	0	2	0	0	14	0	2
Susd5	0	0	0	0	0	0	0	0	0	0
Susd6	1528	1457	1658	1416	1508	1237	1814	1790	1100	1447
Suv39h1	952	748	793	738	654	783	861	923	492	978
Suv39h2	43	71	64	79	51	93	122	105	70	102
Suz12	2546	2727	2599	1746	1680	1856	2243	2725	1997	1931
Sv2a	39	49	36	13	17	45	24	24	25	78
Sv2b	0	5	0	0	1	0	0	0	0	0
Sv2c	85	83	58	89	93	90	141	80	57	144
Sva	0	0	0	0	0	0	0	0	0	0
Sval1	0	0	0	0	0	0	0	0	0	0
Sval2	0	0	0	0	0	0	0	0	0	0
Sval3	0	0	0	0	0	0	0	0	0	0
Svbp	716	662	605	812	745	701	845	787	512	1165
Svep1	4	6	1	6	3	3	3	1	6	4
Svet1	0	0	0	0	0	0	0	0	0	0
Svil	1716	1363	1512	1081	1087	1015	1428	1627	912	1010
Svip	7	8	25	2	3	5	3	32	10	16
Svop	0	1	0	4	0	0	0	3	0	1
Svopl	0	1	0	28	2	6	0	1	0	6
Svs1	0	0	0	0	0	0	0	0	0	0
Svs2	0	0	0	0	0	0	0	0	0	0
Svs3a	0	0	0	0	0	0	0	0	0	0
Svs3b	0	0	0	0	0	0	0	0	0	0
Svs4	0	0	0	0	0	0	0	0	0	0
Svs5	0	0	0	0	0	0	0	0	0	0
